鹤翔万里的个人笔记本,https://note.tonycrane.cc/,内容详细、排版美观的计算机知识笔记，ZJU MkDocs 笔记流鼻祖。,0
咸鱼暄的代码空间,https://xuan-insr.github.io/,以前写课程笔记，现在在深入 C++，未来还会有更多话题，致力于写出让每个新人都能无痛看懂的优质教程。,0
Isshiki修's Notebook,https://note.isshikih.top,课程笔记、技术积累等。力求有真实的自己的见解且适合 ta 人学习，希望做到『替代教材』。,0
Zicx 的笔记本,https://zicx.top/notebook,CS 课程笔记、技术备忘录、科研经历记录，在旅途中留下一点痕迹。,0
小角龙的学习笔记,https://zhang-each.github.io/My-CS-Notebook/,小角龙前辈的博客，内容极其丰富，包含 CS 各方向内容的笔记。,0
FreshBoy's Headspace,https://kaleo996.github.io/,除了 CS 知识外，还有一些语言学知识笔记。,0
MiniBabelLibrary,https://ruoxining.github.io/notebook/,芭蕉姐姐的博客，包含 CS 和一些语言学笔记，以及一些经验、心得分享。,0
Chritch's Notebook,https://obsidian.zerokei.top/,Chritch 的 obsidian 笔记发布站，有一些课程笔记和读书笔记。,0
Jiepeng's notes,https://note.jiepeng.tech/,一些 CS 笔记，比较详细。,0
HobbitQia's Notebook,https://note.hobbitqia.cc/,一些 CS 相关笔记，涉及课程比较全。,0
sakuratsuyus's NOTES,https://sakuratsuyu.github.io/Note/,一些 CS 相关的理论知识，CV 笔记。,0
MinJoker's Notebook,https://minjoker.github.io/,涉及 CS 专业课程、BCI 等，比较详细。,0
yaoyaoling 的 CS notebook,https://yaoyaolingbro.github.io/notebook/,一些 CS 相关的知识笔记与技能拾遗。,0
金鱼马的知乎页面,https://www.zhihu.com/people/he-eeeeeeeee/posts,hls 的文章完成度极高，目前文章主要涉及一些 C/C++ 知识与 AI 内容，推荐阅读！,0
bowling233's TechStack,https://note.bowling233.top/,CS 课程、书本笔记。,0
oneko 的空间,https://oneko.zone/,CS 课程笔记、技术积累、未来的留学生活！,0
Iridescent's notebook,https://lhxcs.github.io/note,22 级图灵班同学 CS 课程笔记。,0
xymm's note,https://xymmsnotebook.gitbook.io/noteofxymm/,22 级计科工高的笔记，mainly CS & MATH & 科研[MLTheory]。,0
01gg's Notebook,https://jly191.github.io,包含课程经验，web 开发相关的内容。,0
Xecades' Notebook,https://note.xecades.xyz/,23 级图灵班同学 CS 相关笔记与拾遗（英文）。,0
Zizheng's Blog,https://zizheng.life,一些北美课程自学经验、实习总结、技术分享。,0
Stormckey's Page,https://stormckey.github.io/,21 级图灵同学的 CS 相关笔记，lab 经验和 blog。,0
HowJul's note,https://note.howjul.com,21 级信安课程笔记和一些人工智能相关的笔记。,0
Lily's note,https://note.zhangyidi.tech/,CS 课程笔记和 CV，AI 学习笔记。,0
Birchtree's Notebook,https://birchtree2.github.io,22 级 CS 课程笔记和 AI+X 学习笔记。,0
NoughtQ's Notebook,https://note.noughtq.top,23 级 CSer 的 ZJU 和自学课程的笔记（专业课笔记完成度较高）。,0
NoughtQ's Blog,https://blog.noughtq.top,23 级 CSer 的博客，收录课程回忆录、Writeup 和技能拾遗等非笔记形式的内容。,0
BruceJin's Notebook,https://brucejqs.github.io/MyNotebook/,23 级 CSer 的课程 & 自学笔记。,0
JazZyzJ's Space,https://jazzyzj.github.io/,23 级图灵班同学的课程笔记 + Generative AI 学习笔记。,0
Transcription-Malfunctioned,https://github.com/Tian42chen/Transcription-Malfunctioned,Tian42chen 前辈的 pdf CS 笔记，大多很详细。,0
Jianjunzhou's Notebook,https://zhoutimemachine.github.io/note/,Jianjunzhou 前辈的 CS 笔记，包含课程笔记、习题解（偏向于专业基础课）。,0
Darstib's note_link,https://darstib.github.io/blog/collection/note_link/,23 级 ISer 按其修读课程分类收集的笔记索引。,0
Darstib's notes,https://darstib.github.io/blog/note/,23 级 ISer 的校内外课程学习笔记。,0
Walker_V's Notebook,https://victorwang712.github.io/Note/,24 级混合班同学的学习笔记，包含课程笔记、课程资料（课后习题、实验代码等），希望能帮助到更多的人。,0
图灵班学习指南,https://zju-turing.github.io/TuringCourses/,图灵班课程学习指南，涵盖图灵班相关课程的课程内容、教师评价、学习方法，适合图灵班同学参考。,1
实用技能拾遗辅学,https://slides.tonycrane.cc/PracticalSkillsTutorial/,「实用技能拾遗」系列辅学课程网站，ZJU 版 The Missing Semester。,1
竺院辅学计划网站,https://ckc-agc.bowling233.top/,竺可桢学院辅学计划站点，涉及数理、编程等方面的知识，适合竺可桢学院中低年级同学参考。,1
Linear-Algebra-Left-Undone,https://github.com/yhwu-is/Linear-Algebra-Left-Undone,竺院辅学讲义，针对图灵班线性代数的两本教材，力求搭建一个较为完整的线性代数学习体系，非常推荐。,1
图灵 23 学长组资料汇总,https://turing2023.tonycrane.cc/,图灵 2023 年迎新页面，适合不限于图灵班的新生参考。,1
安全攻防实践(CTF),http://courses.zjusec.com,安全攻防实践(CTF)短学期课程网站。,2
23 年秋冬操作系统实验,https://zju-sec.github.io/os23fall-stu/,2023 年操作系统课程实验指导手册。,2
ZJU PPL Course,https://github.com/ZJU-PPL,PPL 课程资料仓库。,2
24 年春夏数字逻辑设计实验,https://guahao31.github.io/2024_DD/,2024 年数字逻辑设计实验指导手册，适用于部分班级，参考前请询问老师。,2
24 年春夏编译原理实验,https://compiler.pages.zjusct.io/sp24/,2024 年春夏编译原理刘忠鑫班实验指导手册，需要内网访问。,2
求是潮 zju-icicles,https://github.com/QSCTech/zju-icicles,浙江大学课程攻略共享计划，范围涵盖 ZJU 所有课程，ZJU 规模最大的课程资源整理仓库，缺点是部分资源可能比较老旧。,3
芭蕉的课程资料整理,https://github.com/ruoxining/ZJUCourse,ZJU课程资料，主要含英语 + CS 专业课，不含不合适公开的资料和违反 honor code 的作业。,3
科研学习经验分享,https://github.com/pengsida/learning_research,彭思达学长的科研经历分享，学长很厉害，分享的内容很有用。,3
CourseNoteOfZJUSE,https://github.com/Zhang-Each/CourseNoteOfZJUSE,小角龙整理的 ZJU-SE 的一些课程笔记，历年卷，课程经历分享，被誉为软工圣经。,3
ZJU_Course,https://github.com/RyanFcr/ZJU_Course,浙江大学 20 级图灵信安学长的课程资料整理。,3
ZJUCourse,https://github.com/CSWellesSun/ZJUCourse,浙江大学 20 级图灵计科学长的课程资料整理。,3
